annex_c,match_number,date,home_team,away_team,home_path,away_path
M73,73,2026-06-28T19:00:00Z,South Africa,Canada,2A,2B
M74,74,2026-06-29T20:30:00Z,Germany,Paraguay,1E,3ABCDF
M75,75,2026-06-30T01:00:00Z,Netherlands,Morocco,1F,2C
M76,76,2026-06-29T17:00:00Z,Brazil,Japan,1C,2F
M77,77,2026-06-30T21:00:00Z,France,Sweden,1I,3CDFGH
M78,78,2026-06-30T17:00:00Z,Ivory Coast,Norway,2E,2I
M79,79,2026-07-01T01:00:00Z,Mexico,Ecuador,1A,3CEFHI
M80,80,2026-07-01T16:00:00Z,England,DR Congo,1L,3EHIJK
M81,81,2026-07-02T00:00:00Z,United States,Bosnia and Herzegovina,1D,3BEFIJ
M82,82,2026-07-01T20:00:00Z,Belgium,Senegal,1G,3AEHIJ
M83,83,2026-07-02T23:00:00Z,Portugal,Croatia,2K,2L
M84,84,2026-07-02T19:00:00Z,Spain,Austria,1H,2J
M85,85,2026-07-03T03:00:00Z,Switzerland,Algeria,1B,3EFGIJ
M86,86,2026-07-03T22:00:00Z,Argentina,Cape Verde,1J,2H
M87,87,2026-07-04T01:30:00Z,Colombia,Ghana,1K,3DEIJL
M88,88,2026-07-03T18:00:00Z,Australia,Egypt,2D,2G
