team,shootouts_won,shootouts_lost,penalty_win_rate
Spain,1,4,0.2
Argentina,4,1,0.8
Morocco,4,1,0.8
France,2,2,0.5
Japan,1,4,0.2
Algeria,2,2,0.5
England,1,4,0.2
Portugal,4,1,0.8
Senegal,2,2,0.5
Brazil,2,2,0.5
Iran,2,2,0.5
Germany,4,1,0.8
Netherlands,1,4,0.2
Colombia,2,2,0.5
Mexico,2,2,0.5
South Korea,2,2,0.5
Ivory Coast,2,2,0.5
Belgium,2,2,0.5
Italy,2,2,0.5
Croatia,4,1,0.8
Egypt,2,2,0.5
Ecuador,2,2,0.5
Nigeria,2,2,0.5
Australia,2,2,0.5
Turkey,2,2,0.5
Canada,2,2,0.5
Norway,2,2,0.5
Denmark,2,2,0.5
Austria,2,2,0.5
United States,2,2,0.5
Russia,2,2,0.5
Switzerland,1,4,0.2
Uzbekistan,2,2,0.5
Uruguay,2,2,0.5
Iraq,2,2,0.5
Tunisia,2,2,0.5
Panama,2,2,0.5
Mali,2,2,0.5
South Africa,2,2,0.5
Cameroon,2,2,0.5
DR Congo,2,2,0.5
Czech Republic,2,2,0.5
Jordan,2,2,0.5
Jersey,2,2,0.5
Ukraine,2,2,0.5
Ynys Môn,2,2,0.5
Burkina Faso,2,2,0.5
Hungary,2,2,0.5
Serbia,2,2,0.5
Saudi Arabia,2,2,0.5
Malaysia,2,2,0.5
Sweden,2,2,0.5
Poland,2,2,0.5
United Arab Emirates,2,2,0.5
Thailand,2,2,0.5
Scotland,2,2,0.5
Cape Verde,2,2,0.5
Greece,2,2,0.5
Jamaica,2,2,0.5
Costa Rica,2,2,0.5
Paraguay,2,2,0.5
Vietnam,2,2,0.5
Slovenia,2,2,0.5
Haiti,2,2,0.5
Oman,2,2,0.5
Kosovo,2,2,0.5
Republic of Ireland,2,2,0.5
Angola,2,2,0.5
Isle of Man,2,2,0.5
Venezuela,2,2,0.5
Wales,2,2,0.5
Abkhazia,2,2,0.5
Georgia,2,2,0.5
Honduras,2,2,0.5
Kárpátalja,2,2,0.5
Slovakia,2,2,0.5
Qatar,2,2,0.5
Yorkshire,2,2,0.5
Chile,2,2,0.5
New Caledonia,2,2,0.5
New Zealand,2,2,0.5
Tamil Eelam,2,2,0.5
Romania,2,2,0.5
Northern Cyprus,2,2,0.5
Tahiti,2,2,0.5
Suriname,2,2,0.5
Basque Country,2,2,0.5
Guernsey,2,2,0.5
Guadeloupe,2,2,0.5
Guatemala,2,2,0.5
South Ossetia,2,2,0.5
Zanzibar,2,2,0.5
Padania,2,2,0.5
Ghana,2,2,0.5
Indonesia,2,2,0.5
Artsakh,2,2,0.5
Isle of Wight,2,2,0.5
Elba Island,2,2,0.5
Maule Sur,2,2,0.5
Cascadia,2,2,0.5
Kernow,2,2,0.5
Ellan Vannin,2,2,0.5
Gabon,2,2,0.5
Papua New Guinea,2,2,0.5
China,2,2,0.5
Libya,2,2,0.5
Guyana,2,2,0.5
Curaçao,2,2,0.5
Chameria,2,2,0.5
Biafra,2,2,0.5
Catalonia,2,2,0.5
Parishes of Jersey,2,2,0.5
Franconia,2,2,0.5
Surrey,2,2,0.5
Guinea,2,2,0.5
Israel,2,2,0.5
Bahrain,2,2,0.5
Réunion,2,2,0.5
Syria,2,2,0.5
Dominican Republic,2,2,0.5
Peru,2,2,0.5
Mayotte,2,2,0.5
Orkney,2,2,0.5
Zambia,2,2,0.5
Gambia,2,2,0.5
Luhansk PR,2,2,0.5
Saint Barthélemy,2,2,0.5
Raetia,2,2,0.5
Mapuche,2,2,0.5
Western Armenia,2,2,0.5
Matabeleland,2,2,0.5
Tajikistan,2,2,0.5
Shetland,2,2,0.5
North Macedonia,2,2,0.5
United Koreans in Japan,2,2,0.5
Uganda,2,2,0.5
Gozo,2,2,0.5
Palestine,2,2,0.5
Albania,2,2,0.5
Székely Land,2,2,0.5
Panjab,2,2,0.5
Galicia,2,2,0.5
Benin,2,2,0.5
Somaliland,2,2,0.5
Hitra,2,2,0.5
Vatican City,2,2,0.5
Puerto Rico,2,2,0.5
West Papua,2,2,0.5
Yoruba Nation,2,2,0.5
Togo,2,2,0.5
Hmong,2,2,0.5
East Turkestan,2,2,0.5
Kenya,2,2,0.5
Greenland,2,2,0.5
Madagascar,2,2,0.5
Comoros,2,2,0.5
Bosnia and Herzegovina,2,2,0.5
Trinidad and Tobago,2,2,0.5
Kuwait,2,2,0.5
Northern Ireland,2,2,0.5
French Guiana,2,2,0.5
Mozambique,2,2,0.5
Kabylia,2,2,0.5
Saint Vincent and the Grenadines,2,2,0.5
Aymara,2,2,0.5
Menorca,2,2,0.5
Nicaragua,2,2,0.5
Two Sicilies,2,2,0.5
Fiji,2,2,0.5
Ticino,2,2,0.5
Eritrea,2,2,0.5
Western Isles,2,2,0.5
Philippines,2,2,0.5
Vanuatu,2,2,0.5
Falkland Islands,2,2,0.5
Lebanon,2,2,0.5
Marshall Islands,2,2,0.5
Equatorial Guinea,2,2,0.5
Åland Islands,2,2,0.5
Rwanda,2,2,0.5
Samoa,2,2,0.5
Mauritania,2,2,0.5
North Korea,2,2,0.5
El Salvador,2,2,0.5
Belarus,2,2,0.5
Kyrgyzstan,2,2,0.5
Sápmi,2,2,0.5
Singapore,2,2,0.5
Northern Mariana Islands,2,2,0.5
Iceland,2,2,0.5
Sierra Leone,2,2,0.5
Barawa,2,2,0.5
Hong Kong,2,2,0.5
Sint Maarten,2,2,0.5
Turkmenistan,2,2,0.5
Saint Martin,2,2,0.5
Solomon Islands,2,2,0.5
Martinique,2,2,0.5
Sudan,2,2,0.5
Alderney,2,2,0.5
Bolivia,2,2,0.5
Finland,2,2,0.5
Zimbabwe,2,2,0.5
Chagos Islands,2,2,0.5
Montenegro,2,2,0.5
Botswana,2,2,0.5
Frøya,2,2,0.5
Cuba,2,2,0.5
Niger,2,2,0.5
Ethiopia,2,2,0.5
Saint Kitts and Nevis,2,2,0.5
Malawi,2,2,0.5
Cook Islands,2,2,0.5
Belize,2,2,0.5
Saint Lucia,2,2,0.5
Bermuda,2,2,0.5
Montserrat,2,2,0.5
Burundi,2,2,0.5
Namibia,2,2,0.5
Tonga,2,2,0.5
Bulgaria,2,2,0.5
Saint Helena,2,2,0.5
Tuvalu,2,2,0.5
Tibet,2,2,0.5
Tanzania,2,2,0.5
Liberia,2,2,0.5
Yemen,2,2,0.5
Kazakhstan,2,2,0.5
Guinea-Bissau,2,2,0.5
Lesotho,2,2,0.5
Grenada,2,2,0.5
Central African Republic,2,2,0.5
Aruba,2,2,0.5
Bangladesh,2,2,0.5
India,2,2,0.5
Dominica,2,2,0.5
Bonaire,2,2,0.5
Turks and Caicos Islands,2,2,0.5
Congo,2,2,0.5
Eswatini,2,2,0.5
Luxembourg,2,2,0.5
Cambodia,2,2,0.5
American Samoa,2,2,0.5
Somalia,2,2,0.5
Faroe Islands,2,2,0.5
Brunei,2,2,0.5
Estonia,2,2,0.5
Afghanistan,2,2,0.5
Malta,2,2,0.5
Azerbaijan,2,2,0.5
Mauritius,2,2,0.5
Cayman Islands,2,2,0.5
Nepal,2,2,0.5
Armenia,2,2,0.5
South Sudan,2,2,0.5
Pakistan,2,2,0.5
Antigua and Barbuda,2,2,0.5
Djibouti,2,2,0.5
Myanmar,2,2,0.5
Sri Lanka,2,2,0.5
British Virgin Islands,2,2,0.5
Cyprus,2,2,0.5
Chad,2,2,0.5
Barbados,2,2,0.5
Guam,2,2,0.5
United States Virgin Islands,2,2,0.5
Taiwan,2,2,0.5
Macau,2,2,0.5
São Tomé and Príncipe,2,2,0.5
Mongolia,2,2,0.5
Maldives,2,2,0.5
Latvia,2,2,0.5
Laos,2,2,0.5
Moldova,2,2,0.5
Bhutan,2,2,0.5
Timor-Leste,2,2,0.5
Bahamas,2,2,0.5
Lithuania,2,2,0.5
Anguilla,2,2,0.5
Gibraltar,2,2,0.5
Seychelles,2,2,0.5
Andorra,2,2,0.5
Liechtenstein,2,2,0.5
San Marino,2,2,0.5
