match_id,weather_proxy_date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
GRP-A-M1,2025-06-11,20.1,5.7,8.4
GRP-A-M2,2025-06-12,20.1,4.1,12.0
GRP-B-M1,2025-06-12,20.6,0.0,22.1
GRP-D-M1,2025-06-13,20.1,0.0,13.1
GRP-B-M2,2025-06-13,17.1,0.0,14.4
GRP-C-M1,2025-06-13,24.7,0.1,11.2
GRP-C-M2,2025-06-14,15.0,3.0,16.2
GRP-D-M2,2025-06-14,14.3,0.0,11.6
GRP-E-M1,2025-06-14,26.1,16.4,15.1
GRP-F-M1,2025-06-14,26.3,1.9,15.2
GRP-E-M2,2025-06-14,20.9,7.6,11.5
GRP-F-M2,2025-06-15,27.5,0.0,19.8
GRP-H-M1,2025-06-15,24.4,2.2,16.7
GRP-G-M1,2025-06-15,15.4,0.0,18.0
GRP-H-M2,2025-06-15,29.0,0.6,14.0
GRP-G-M2,2025-06-16,22.2,0.0,10.9
GRP-I-M1,2025-06-16,17.7,2.5,12.9
GRP-I-M2,2025-06-16,16.5,0.0,10.8
GRP-J-M1,2025-06-17,25.0,0.5,15.3
GRP-J-M2,2025-06-17,18.8,0.0,15.4
GRP-K-M1,2025-06-17,27.2,1.2,13.8
GRP-L-M1,2025-06-17,29.0,0.0,24.6
GRP-L-M2,2025-06-17,19.5,0.7,11.6
GRP-K-M2,2025-06-18,16.6,15.7,8.6
GRP-A-M3,2025-06-18,24.7,1.3,14.5
GRP-B-M3,2025-06-18,23.4,0.0,12.7
GRP-B-M4,2025-06-18,16.8,1.2,15.0
GRP-A-M4,2025-06-19,19.1,27.7,13.7
GRP-D-M3,2025-06-19,15.6,0.0,13.9
GRP-C-M3,2025-06-19,23.3,0.9,21.4
GRP-C-M4,2025-06-20,23.2,0.2,17.3
GRP-D-M4,2025-06-20,16.0,0.0,17.5
GRP-F-M3,2025-06-20,28.2,0.6,14.8
GRP-E-M3,2025-06-20,20.3,0.6,27.0
GRP-E-M4,2025-06-21,29.1,0.0,31.9
GRP-F-M4,2025-06-21,24.2,1.5,21.8
GRP-H-M3,2025-06-21,25.7,0.7,7.5
GRP-G-M3,2025-06-21,19.8,0.0,13.3
GRP-H-M4,2025-06-21,28.8,1.6,11.9
GRP-G-M4,2025-06-22,14.5,4.4,10.2
GRP-J-M3,2025-06-22,30.0,0.0,24.1
GRP-I-M3,2025-06-22,26.9,0.0,18.1
GRP-I-M4,2025-06-23,32.0,0.0,13.7
GRP-J-M4,2025-06-23,19.1,0.0,16.9
GRP-K-M3,2025-06-23,28.5,0.9,15.5
GRP-L-M3,2025-06-23,27.3,0.0,11.9
GRP-L-M4,2025-06-23,29.3,0.0,17.0
GRP-K-M4,2025-06-24,18.1,16.5,15.7
GRP-B-M5,2025-06-24,17.0,0.0,7.9
GRP-B-M6,2025-06-24,18.6,0.0,13.6
GRP-C-M5,2025-06-24,28.5,2.1,14.3
GRP-C-M6,2025-06-24,30.8,0.0,9.2
GRP-A-M5,2025-06-25,15.5,8.9,7.4
GRP-A-M6,2025-06-25,26.4,0.0,21.0
GRP-E-M5,2025-06-25,32.0,0.6,19.6
GRP-E-M6,2025-06-25,33.4,0.4,13.6
GRP-F-M5,2025-06-25,28.6,0.8,15.2
GRP-F-M6,2025-06-25,29.4,0.1,19.0
GRP-D-M5,2025-06-26,20.0,0.0,13.5
GRP-D-M6,2025-06-26,18.5,0.0,15.0
GRP-I-M5,2025-06-26,21.2,1.9,16.8
GRP-I-M6,2025-06-26,21.8,0.0,18.9
GRP-H-M5,2025-06-27,27.0,1.0,10.3
GRP-H-M6,2025-06-27,18.1,2.7,11.5
GRP-G-M5,2025-06-27,15.8,2.8,14.6
GRP-G-M6,2025-06-27,14.2,4.4,12.0
GRP-L-M5,2025-06-27,20.5,0.0,13.5
GRP-L-M6,2025-06-27,21.3,0.0,16.7
GRP-K-M5,2025-06-27,26.6,6.0,13.0
GRP-K-M6,2025-06-27,25.4,7.8,17.6
GRP-J-M5,2025-06-28,26.4,1.6,16.6
GRP-J-M6,2025-06-28,30.7,0.0,16.5
